time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-08-09T00:34:46.770Z,36.9596667,-121.5851667,7.39,2.93,md,83,24,0.003604,0.12,nc,nc72270580,2017-02-04T09:28:36.320Z,"5km SSW of Gilroy, California",earthquake,0.14,0.43,0.114,103,reviewed,nc,nc
2014-08-06T23:11:07.740Z,37.1276667,-121.5283333,7.085,2.64,md,89,60,0.01532,0.05,nc,nc72269440,2017-02-04T09:15:08.130Z,"8km ENE of San Martin, California",earthquake,0.09,0.26,0.167,113,reviewed,nc,nc
2014-06-21T17:22:08.570Z,37.6085,-122.0058333,6.291,2.92,md,167,21,0.02883,0.16,nc,nc72241526,2017-02-04T01:27:42.630Z,"1km NE of Union City, California",earthquake,0.11,0.15,0.159,141,reviewed,nc,nc
2014-06-03T06:05:28.470Z,37.7198333,-122.1236667,5.769,2.68,md,157,19,0.005405,0.14,nc,nc72231406,2017-02-03T22:35:38.390Z,"2km ESE of San Leandro, California",earthquake,0.1,0.19,0.16,140,reviewed,nc,nc
2014-05-26T04:11:01.170Z,36.9643333,-121.5973333,6.802,2.7,md,96,26,0.06126,0.12,nc,nc72227261,2017-02-03T21:25:21.020Z,"5km SSW of Gilroy, California",earthquake,0.12,0.33,0.165,133,reviewed,nc,nc
2014-05-03T18:28:27.420Z,37.6323333,-121.6988333,4.293,2.6,md,82,119,0.04685,0.14,nc,nc72215116,2017-02-03T17:57:28.980Z,"8km SE of Livermore, California",earthquake,0.16,0.35,0.185,115,reviewed,nc,nc
2014-04-24T13:21:51.120Z,37.3806667,-122.1925,4.9,2.7,md,139,30,0.01982,0.13,nc,nc72204505,2017-02-03T15:51:20.870Z,"2km SSE of Ladera, California",earthquake,0.09,0.12,0.12,143,reviewed,nc,nc
2014-03-07T21:38:23.640Z,37.6041667,-122.0146667,6.353,2.77,md,222,25,0.02162,0.19,nc,nc72180656,2017-02-03T08:50:23.410Z,"1km NNE of Union City, California",earthquake,0.1,0.19,0.177,126,reviewed,nc,nc
2014-02-13T08:24:51.970Z,37.3605,-121.714,7.279,2.6,md,150,39,0.04505,0.15,nc,nc72165771,2017-02-03T04:34:21.330Z,"9km ESE of East Foothills, California",earthquake,0.12,0.2,0.127,147,reviewed,nc,nc
2014-01-10T07:48:52.380Z,37.5393333,-121.9215,8.957,2.6,mh,8,193,0.02703,0.03,nc,nc72139711,2017-02-02T20:57:44.044Z,"6km E of Fremont, California",earthquake,0.85,1.31,,0,reviewed,nc,nc
2014-01-03T11:52:17.380Z,37.3235,-122.1573333,9.61,2.85,md,195,35,0.006306,0.22,nc,nc72135386,2017-02-02T19:36:41.220Z,"5km WSW of Loyola, California",earthquake,0.14,0.26,0.123,213,reviewed,nc,nc
2013-12-21T11:38:45.270Z,37.745,-122.1511667,5.048,2.63,md,168,20,0.03604,0.15,nc,nc72128026,2017-02-02T04:25:31.540Z,"2km N of San Leandro, California",earthquake,0.09,0.19,0.151,108,reviewed,nc,nc
2013-12-14T00:16:28.110Z,37.2513333,-122.1683333,11.375,2.91,md,180,65,0.03694,0.21,nc,nc72120420,2017-02-02T03:20:32.710Z,"12km W of Saratoga, California",earthquake,0.18,0.23,0.138,158,reviewed,nc,nc
2013-12-02T10:05:21.790Z,36.9395,-121.5356667,7.83,3.65,mw,102,22,0.02613,0.15,nc,nc72113080,2017-03-17T22:59:04.746Z,"7km SSE of Gilroy, California",earthquake,0.14,0.34,,4,reviewed,nc,nc
2013-12-01T14:14:25.220Z,37.2506667,-122.1686667,10.745,2.83,md,200,66,0.03694,0.21,nc,nc72112690,2017-02-02T01:32:47.210Z,"12km SSW of Loyola, California",earthquake,0.14,0.21,0.132,189,reviewed,nc,nc
2013-11-23T16:01:28.850Z,37.7771667,-121.9401667,7.794,2.74,md,85,54,0.02703,0.08,nc,nc72108595,2017-02-02T00:24:10.050Z,"3km E of San Ramon, California",earthquake,0.09,0.22,0.193,119,reviewed,nc,nc
2013-11-13T17:30:30.500Z,37.7863333,-121.9658333,10.066,3.32,mw,195,54,0.005405,0.13,nc,nc72106876,2017-02-01T23:03:09.200Z,"1km ENE of San Ramon, California",earthquake,0.1,0.15,,6,reviewed,nc,nc
2013-11-12T23:40:30.510Z,37.6588333,-122.4918333,10.029,2.77,md,152,89,0.02523,0.07,nc,nc72106531,2017-02-01T22:57:39.070Z,"3km SSW of Broadmoor, California",earthquake,0.11,0.17,0.142,98,reviewed,nc,nc
